개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,건물소유구분명,건물지상층수,건물지하층수,남성종사자수,다중이용업소여부,데이터갱신시점,도로명주소,발한실여부,사용끝지상층,사용끝지하층,사용시작지상층,사용시작지하층,상세영업상태명,상세영업상태코드,여성종사자수,영업상태코드,욕실수,위생업태명,전화번호,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3000000,3000000-202-2003-00004,2003-06-30,영업/정상,,352.00,110-070,03173,대호대중사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,서울특별시 종로구 새문안로3길 30 (내수동),N,,1,,1,영업,01,,01,,공동탕업,027389434,,,,197567.93800572     ,452276.454633376    ,서울특별시 종로구 내수동 167 ,2025-10-14 14:19:41
3000000,3000000-202-2003-00009,2003-10-13,영업/정상,,"1,430.00",110-718,03149,백상대중탕,공동탕업,I,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 인사동7길 12 (관훈동,백상빌딩 지하2층)",N,,2,,,영업,01,,01,,공동탕업,027226995,,,,198624.006469032    ,452310.752960617    ,서울특별시 종로구 관훈동 197-28 백상빌딩 지하2층 ,2024-04-23 11:27:52
3000000,3000000-202-2007-00001,2007-01-30,영업/정상,,468.27,110-521,03070,명성사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 명륜길 8 (명륜1가,지상2,4층)",N,,,,,영업,01,,01,,공동탕업,027648811,,,,199609.522606301    ,453980.161955623    ,"서울특별시 종로구 명륜1가 10-16 지상2,4층 ",2017-10-25 11:48:29
3000000,3000000-202-2011-00001,2011-01-31,영업/정상,,"1,708.59",110-054,03168,스페이스본사우나,공동탕업+찜질시설서비스영업,I,임대,0,4,,N,2025-12-15 16:15:28,"서울특별시 종로구 사직로8길 4, 301동 B205, 206, 207, 209호 (사직동, 풍림스페이스본)",Y,0,2,0,2,영업,01,,01,2,공동탕업+찜질시설서비스영업,027331776,,,,197181.393301659    ,452458.826651573    ,"서울특별시 종로구 사직동 9 풍림스페이스본 301동 B205, 206, 207, 209호 ",2025-05-21 16:22:27
3000000,3000000-202-2014-00001,2014-03-31,영업/정상,,193.31,,03132,호텔 이비스앰배서더 인사동,공동탕업,I,자가,0,0,,N,2025-12-15 16:15:28,"서울특별시 종로구 삼일대로30길 31 (익선동, 이비스 앰배서더 인사동 호텔)",N,,1,,1,영업,01,,01,2,공동탕업,0267301133,,,,198999.525786224    ,452458.391334878    ,,2025-01-21 17:13:57
3000000,3000000-202-2017-00001,2017-12-27,영업/정상,,219.86,110-500,03100,종로노인종합복지관,목욕장업 기타,I,임대,0,0,0,N,2025-12-15 16:15:28,"서울특별시 종로구 율곡로19길 17-8, 종로노인종합복지관 1층 (이화동)",Y,1,0,1,0,영업,01,0,01,2,목욕장업 기타,027429500,,,,200462.615226273    ,452715.017605206    ,서울특별시 종로구 이화동 25-1 종로노인종합복지관 1층 ,2025-03-21 15:22:23
3000000,3000000-202-2018-00001,2018-05-31,영업/정상,,105.52,110-290,03163,도미인 서울 인사동 사우나,공동탕업,I,,0,0,0,N,2025-12-15 16:15:28,"서울특별시 종로구 인사동길 20-9, 지하2층 (인사동)",N,0,2,0,2,영업,01,0,01,2,공동탕업,027386100,,,,198797.815432789    ,452231.193562946    ,서울특별시 종로구 인사동 34-2 지하2층 ,2025-12-01 10:35:42
3000000,3000000-202-2019-00001,2019-08-22,영업/정상,,233.95,110-450,03127,오라카이 대학로 호텔,공동탕업,I,,0,0,0,N,2025-12-15 16:15:28,"서울특별시 종로구 율곡로 180, 4층 (원남동)",N,4,,4,,영업,01,0,01,0,공동탕업,0263537700,,,,199821.363678095    ,452603.475535058    ,서울특별시 종로구 원남동 49-17 4층 ,2019-08-22 17:40:26
3000000,3000000-202-2023-00001,2023-09-18,영업/정상,,"1,412.80",110-121,03157,자마이카 피트니스,공동탕업,I,,0,0,0,N,2025-12-15 16:15:28,"서울특별시 종로구 종로 19, 르메이에르종로타운1 B2,B3층 (종로1가)",Y,,3,,2,영업,01,0,01,2,공동탕업,,,,,198150.300374121    ,452019.212642931    ,서울특별시 종로구 종로1가 24 르메이에르종로타운1 ,2025-01-14 10:54:42
3000000,3000000-202-2023-00003,2023-12-13,영업/정상,,"1,780.39",110-847,03009,SPA평창,공동탕업,I,,0,0,0,N,2025-12-15 16:15:28,"서울특별시 종로구 평창문화로 87, KB골든라이프케어평창카운티 지하2층 (평창동)",Y,,,,,영업,01,0,01,6,공동탕업,0262732600,,,,197349.173372741    ,456108.810250198    ,서울특별시 종로구 평창동 153-3 KB골든라이프케어평창카운티 ,2024-01-26 17:22:58
3000000,3000000-202-2024-00001,2024-07-22,영업/정상,,"2,089.91",110-841,03121,스파렉스,공동탕업,I,자가,13,5,0,N,2025-12-15 16:15:28,"서울특별시 종로구 지봉로 19, 시즌 12,13층 (창신동)",Y,13,,12,,영업,01,0,01,8,공동탕업,029736377,,,,201273.887781838    ,452163.292543039    ,서울특별시 종로구 창신동 328-18 시즌 ,2025-01-09 17:44:25
3000000,3000000-202-2025-00001,2025-04-15,영업/정상,,"1,523.77",110-420,03192,국일관 사우나,공동탕업,I,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 수표로 96, 국일관드림펠리스 지하2층 (관수동)",N,,,,,영업,01,,01,,공동탕업,,,,,199045.043602772    ,451939.677286976    ,서울특별시 종로구 관수동 20 국일관드림펠리스 ,2025-04-15 13:46:34
3000000,3000000-202-2025-00002,2025-07-23,영업/정상,,"2,309.08",110-071,03183,광화문미래에셋호텔,목욕장업 기타,I,,0,0,0,N,2025-12-15 16:15:28,"서울특별시 종로구 새문안로 97, 8층 (당주동)",N,,,,,영업,01,0,01,0,목욕장업 기타,0263885600,,,,197758.993026787    ,452053.420838552    ,서울특별시 종로구 당주동 30 ,2025-11-05 11:04:10
3000000,3000000-202-2025-00003,2025-09-02,영업/정상,,364.00,110-753,03164,단오풍정 종로(주),목욕장업 기타,I,,,,,N,2025-12-15 16:15:28,"서울특별시 종로구 종로 69, 서울 YMCA 지하1층 (종로2가)",N,,,,,영업,01,,01,,목욕장업 기타,,,,,198630.79627088     ,452035.412646906    ,서울특별시 종로구 종로2가 9 서울 YMCA ,2025-09-03 15:18:06
3000000,3000000-202-2025-00004,2025-11-04,영업/정상,,197.01,110-872,03174,스포짐 광화문,목욕장업 기타,I,,0,0,0,N,2025-12-15 16:15:28,"서울특별시 종로구 사직로8길 34, 경희궁의아침 3단지 지하2층 163-1호 (내수동)",N,,2,,2,영업,01,0,01,2,목욕장업 기타,027330114,,,,197465.223921125    ,452366.613899898    ,서울특별시 종로구 내수동 72 경희궁의아침 3단지 ,2025-11-04 14:09:27
3000000,3000000-202-2025-00005,2025-12-01,영업/정상,,8.51,110-827,03112,에이치짐 신설동역점,목욕장업 기타,I,,0,2,0,N,2025-12-15 16:15:28,"서울특별시 종로구 숭인동길 21, 상가 나동 지층 01호 (숭인동, 종로청계힐스테이트)",Y,,,,,영업,01,0,01,0,목욕장업 기타,,,,,201798.834918812    ,452637.556986205    ,서울특별시 종로구 숭인동 766 종로청계힐스테이트 ,2025-12-01 16:51:35
