시설명,온탕온도,열탕온도,냉탕온도,건식온도,습식온도,노천탕온도,시설태그,수질청결메모,입장료,세신가격,특이사항,후기발췌
강변스파랜드,,,,,,,"bulgama,cold-bath,dry-sauna,indoor-rest",,,,,추천해주신 강변스파랜드도 다녀와봤는데  여탕 냉탕은 5도까지는  아니었지만 정말 차가웠습니다
고려사우나,,,,,,,"jjimjilbang,parking",,,,,
골드로즈,,,,,,,"bulgama,jjimjilbang,open-air-bath",1. 서울사우나/ 깨끗합니다 뜨겁습니다 다만 쉴 곳이 없습니다 2. 롯데사우나/ 관리 잘|2. 롯데사우나/ 관리 잘 안됩니다 로컬목욕탕 그 자체 3. 도두해수파크/ 무난합니다,,,,
국제광천수,,,,,,,"cold-bath,dry-sauna,hot-bath,wet-sauna",진 온천이라 매우 청결했으며 특히 온천에 입장하면 히노끼 냄새가 기분좋게 코를 찌르는게 기,,,,
금진온천,,,,,,,"dry-sauna,hot-bath,massage,open-air-bath,very-hot-bath,wet-sauna",온천수라 그런지 물이 정말 좋습니다. 탕에 몸을 담그고 나오면 피부가 한층 부드러워지고|체적으로 쾌적하게 관리되고 있어 편하게 온천욕 즐기기 좋은 곳입니다. 2 photos 남자,,,식 사우나는 현재 공사 중입니다.  역시 온천탕답게 미네랄 온천수라 그런지 물이 정말 좋습|좋은편입니다!!!!꿀팁!!! 바늘은 16호이상 미끼는 갯지렁이나 개불 사용하시면 됩니다!!,객실컨디션을 따지신다면 경포에 숙소 추천드리고 (객실가 평일기준 12-20사이)
금천파크,,,,,,,"hot-bath,open-air-bath",,,,,여긴 다 모르겠고 노천탕에서 바라보는 설산뷰는 인생 최고 뷰였습니다|부산오시면 꼭 한번 가보시길 추천드려요 ♨️♨️
네이버한방스파,,,,,,,dry-sauna,,,,,
네이처스파,,46,,,,,"bulgama,food,hot-bath,open-air-bath,outdoor-rest,parking,very-hot-bath",사람 정말 많아서 관리가 잘 안된다라는 글도 봤는데 실제로 어떤가요? 주말은 어쩔수 없고|머리카락이나 불순물이 떠다닙니더. 탕 주변도 잘 안닦는지 혹은 바람으로 인해 흙이 좀 쌓|여있는데 내부탕은 깨끗해요... 어쩔수없는듯. 하지만 탕안에서 바닥에 손을 짚었더니 모래가,,,,"다만 전통 한증막에서 진짜 땀 빼는 데만 집중하고 싶다면, 추천드립니다|샤워시설이나 내부 동선은 솔직히 아쉬운 편인데, 한증막 자체는 땀이 잘 나고 열기가 충분해요"
능암탄산,,,,,,,,,,,,얼마전에 갔던 능암탄산온천은 같은 금액에 사용가능시간 (100초였던것으로 기억)이 차감되는 형식에 바람세기도 강해서 좋았습니다
대성관,,,,,,,,,,,,지내시는 곳이 어딘지 알려주시면 근처로 해서 추천드려볼게요 ♨️♨️|부산 현지인분들 추천해주세요~
