"쿠알라룸푸르 매리어트 호텔 사우나","","80","","","","outdoor|cold_bath|warm_bath|dry_sauna|wet_sauna","","","2","2323","건식은 기본 80도 정도로 뜨겁지 않았는데, 로일리로 90도까지 금방 올라갔어요","로일리 후 90도 달성"
"그랜드 머큐어 용산 사우나","","93","56","19","","dry_sauna|wet_sauna|cold_bath","","","2","2338","습식 56도(최고!) 건식 93도 냉탕 19도","고양,덕양구"
"르네상스휘트니스사우나","서울 송파","90","50","","39","dry_sauna|wet_sauna|warm_bath|hot_bath|jjimjil","","","2","2344","온탕 39 열탕 41 건식 90도 습식 50도","황토방 포함"
"쉐레이 사우나","서울 용산구","100","","19","","dry_sauna|wet_sauna|cold_bath","","","2","2407","건식사우나 100도로 되있는데 안에 온도계는 110도였습니다","내부 110도 체감온도"
"포시즌스","서울 경기","","","18","38-43","dry_sauna|wet_sauna|cold_bath|hot_bath|scrub","","","2","2452","온탕 38.7도, 열탕 42~43도, 냉탕 18도","얼음미스트샤워, 세신 가능"
"네스트호텔 사우나","서울 용산","80","","22","39","dry_sauna|outdoor|cold_bath|warm_bath","","","2","2674","온탕 39도, 냉탕 22도, 노천탕 39도, 건식사우나 80도","1개 건식만 있음"
"청담프리마","서울 용산","","","13","41","outdoor|cold_bath|warm_bath|hot_bath","","","2","2676","노천탕 42도로 계속유지잘되서 너무좋아요","청담 프리마스파로도 불림"
"스카이베이 사우나","강릉시","65","","19","38-41","dry_sauna|cold_bath|warm_bath|hot_bath","","","2","2734","온탕38도 열탕41도 냉탕19도 정도이며 건식은 65도내외","자쿠지 36도"
"현남 더앤리조트온천","강릉시","","","18","37-40","wet_sauna|outdoor|cold_bath|warm_bath|hot_bath","","","2","2736","온탕1(37도) 열탕1(40도)냉탕(18도) 습식사우나1 야외 핀란드식사우나1 / 노천탕1(온도관리 정말안됩니다 34도내외)","도민 아닐 경우 고가"
"예산 덕산 온천탕","인천 부평","85","","23-24","","dry_sauna|cold_bath","","","2","2906","건식이 85도 수준으로 유지 / 냉탕은 온도가 23-4도","주말 혼잡도 낮음"
"파라다이스 부산","부산 해운대","70-85","50","20","40-43","dry_sauna|wet_sauna|outdoor|cold_bath|warm_bath|hot_bath","","","2","2914","온탕40도 열탕43도 냉탕20도 핀란드식 건식사우나 85도 / 건식사우나 70도 / 습식사우나 50도","규모 크고 온천 다양"
"우리유황온천","분당","65","38","24","","dry_sauna|wet_sauna|cold_bath","","","2","2940","습식이 표시온도가 38도 / 건식도 표시온도는 65도 / 냉탕 24도","긍정/부정 후기 공존"
"용산 드래곤머큐어 호텔 사우나","서울 경기","","","21","40-43","dry_sauna|wet_sauna|cold_bath|warm_bath|hot_bath","","","2","2983","건식/습식/온탕(40도)/열탕(43도)/냉탕(21도)","한방내음"
"용산 드래곤시티","서울 강남","","","21-22","","","","","2","2985","냉탕도 22?21?도 정도 됏던거 같습니다","물음표 포함 추정치"
"우리유황","서울 송파","","","","40.2","dry_sauna|wet_sauna|cold_bath|hinoki|indoor_bath","","","2","3260","온탕 40.2도로 적절... 히노끼탕있었으나 37도","급냉탕, 내기욕장 2개"
"다산 스파디움24","경기 구리","77.6","","23.7","41.5","dry_sauna|cold_bath|warm_bath","","","2","3368","여탕기준 건식 77.6 냉탕 23.7 온탕 41.5","여탕 기준 온도"
"신라모노그램호텔사우나","강릉시","","","19","39","dry_sauna|cold_bath|warm_bath","","","2","3424","온탕1(39도)냉탕1(19도) / 건식사우나1(온도사진참고)","건식 온도는 사진 참고로 미기재"
"프리마스파","경기 구리","","","","43","dry_sauna|wet_sauna|hot_bath|sunbed","","","2","3531","쑥탕이 열탕으로 43도","선베드 3개, 내기욕 가능"
"강변스파랜드","서울 광진","","","5","","cold_bath","","","2","3638","강변스파랜드 5도 급냉탕","급냉탕 특화"
"도미인 강남","경기","","","28","38-39","dry_sauna|cold_bath|warm_bath","","","2","3890","메인탕(38-39도)... 28도 정도로 시원한 샤워","추천 코스 언급"
"청담 프리마스파","서울 경기","","","13","41-43","dry_sauna|wet_sauna|cold_bath|warm_bath|hot_bath|sunbed","","","2","3921","냉탕 13도 유지/ 온탕 41도 / 열탕(쑥탕...) 43도","쑥 습식, 선베드 3개"
"도미인 인사동","강릉시","85","","18","39","dry_sauna|cold_bath|warm_bath","","","2","3923","온탕 39도 냉탕 18도 건식85도","익스프레스로도 불림"
"강릉 스카이베이 사우나","강릉시","80","","23","39-42","dry_sauna|cold_bath|warm_bath|hot_bath","","","2","3923","온탕39 열탕42 냉탕23... 건식사우나80... 수영장 자쿠지온도는 36도","자쿠지/수영장 시설"
"양양 더앤온천","강릉시","67","","19","39","dry_sauna|outdoor|cold_bath|warm_bath","","","2","3958","온탕 : 39도 / 냉탕 : 19도 / 노천탕 : 38~39도 / 건식사우나 : 67도","현남 더앤리조트와 구별"
"스파앳홈 인천공항2터미널점","경기 구리","72","","18","30","dry_sauna|cold_bath","","","2","3993","탕은 총 3개로 18도, 30도, 39도... 사우나는 72도 건식 하나","호텔식 수준, 탕 크기 작음"
"시수하우스","서울 용산","70","","","","dry_sauna|cold_bath","","","2","4274","사우나 온도도 70도 이상 안올라가서","개인 사우나, 냉탕 없음"
"국제광천수온천","부산 해운대","75","","","","dry_sauna|outdoor|cold_bath|bubble_spa","","","2","4524","건식사우나는... 75도로 계단식","온탕 3곳, 냉탕, 버블스파"
"솔로사우나레포","서울 강서","70","","","","dry_sauna","","","2","4534","로울리 아무리 해도 시간내애 70도 정도가 최고","비교 발화, 경험 기반"
