"국제광천수온천","부산 양정","75","","","","","","","","3","4524","건식사우나는 ... 75도 ... 부산사시는 분들 강추","온탕 3곳, 냉탕, 버블스파 명시"
"솔로사우나레포","서울 강서","70","","","","","","","","3","4534","사우나 로울리 아무리 해도 70도 정도가 최고","최고온도 경험치, 냉탕은 직접 받는 물"
"노다지","강릉","79","73","12.4","38.8","","","","","3","4679","온탕38.8 쑥탕41.8 레몬탕41.5 냉탕12.4 건식79 습식73","쑥탕 41.8, 레몬탕 41.5도도 있음"
"군인공제회관M스포렉스","경기 분당","","","24","40","42","","","","3","5008","냉탕24,온탕40,열탕42 습식 사우나, 건식없음","건식 없음, 샤워기 약 10석"
"우리유황온천","경기 구리","","","20","","","hinoki","","","3","5100","냉탕은 충분히 깊고 넓었습니다. 온도는 20도 정도","여러 탕 구성, 식혜+계란 판매, 위치 자양로5길 33"
"오라카이청계산사우나","분당","","","21","39","","","","","3","5109","온탕이 39도 정도 ... 냉탕이 적당히 21도 정도","휴식공간 아쉬움"
"광주 숯가마","서울 동작","91,95,138","","","","","","","","3","5121","숯가마가 91도,95도,138도와 외기 숯이 있었습니다","LOW: 시설명 모호, 특수시설, 지역 확인 필요"
"우이령불가마주쉼사우나","서울","77","66","16","39","42","event_bath","","","3","5176","열탕 42 온탕 39 이벤트탕 41 냉탕 16 건식 77 습식 66","여탕 기준, 내기욕 없음"
"우이령불가마주쉼사우나","서울 중","87","67","11","","","jjimjil|salt|event_bath","","","3","5234","사우나: 건식(87도) 습식(67도) 냉탕 온도가 무려 11도","MEDIUM: 다른 후기, 냉탕 강점"
"신북온천","강릉","70,79.7,98.8","","21","37","42","outdoor","","","3","5238","옥사우나 약 70도 황토사우나 약 79.7도 숯사우나 약 98.8도","체감 온도 기준, 특수시설"
"설해원&면역공방","","","","20-21","40","42","outdoor|hinoki","","","3","5267","노천탕 42도 실내 온탕 40도 냉탕 20도 21도 히노키사우나 122도","MEDIUM: hinoki 표시 122도/체감 90도 미만, 개인사우나 자쿠지"
"광화문 스페이스본","인천 검단","83","53","20","40","42","jjimjil|event_bath","","","3","5293","온탕(40도) 열탕(42도) 냉탕(20도) 건식(83도) 습식(53도)","MEDIUM: 정식명 확인 필요, 불한증막 하이라이트"
"춘천 나무향기","춘천","90,85","","","","","jjimjil","17000","","3","5315","한증막은 아침엔 90도 정도 오후 85도 이하","한증막만, 탕 없음, 5시간 17000원"
"아리마 온천마을 타이코노유","부산 강서","93-94","","","","","","","","3","5348","온도는 93~4도쯤 ... 아우프구스 ... 습식 사우나가 없어요","일본 고베, 오토 로울리, 아우프구스, 습식 없음"
"로데오스파","서울 강남","","","15","","","jjimjil","","","3","5388","냉탕온도 체감상 한 15도 이하입니다","원적외선 한증막, 지압 마사지/음식"
"강변스파랜드","서울 성동","","","5","","","","","","3","5389","강변스파랜드 5도입니다","MEDIUM: 성별/구역 차이, 여탕은 5도까지 아님"
"고려사우나","서울 송파","","","15","","","","","","3","5413","냉탕온도 체감상 15도 이하인거같아요","가락시장역"
"안토 사우나","강릉","77","53","19","38","41","outdoor","","","3","5488","온탕 38도 열탕 41도 냉탕 19도 건식 77도 습식 53도","라운지/휴게시설, 수영장 연결, 옥상 노천탕"
"장소명 미기재(냉수욕)","서울 광진","","","5-7","","","hinoki","","","3","5504","냉탕 2개인데 급냉탕이나 일반 냉탕 둘 다 5~7도급","LOW: 장소명 확인 필요"
"노량진 솔로사우나 레포","서울 영등포","","","","","","hinoki","","","3","5612","핀란드식 사우나라 편백향 ... 로우릴루 하면 열기 확 올라옴","핀란드식, 온수/냉수 선택, 어메니티/가운/찜질복"
"엠버서더 풀만 사우나","강릉","76","51.9","21","41","42.7","","","33000","3","5654","열탕: 42.7°C 온탕: 41°C 냉탕: 21°C 습식: 51.9°C 건식: 76°C","호텔 사우나, 33000원 이용료"
